Area,Midpoint,Confidence,ID,Class
2617.4763,"(733.7168579101562, 532.4185180664062)",0.5991061,1.0,2.0
2532.6223,"(733.6689453125, 532.322265625)",0.5662991,1.0,2.0
2524.8813,"(732.996826171875, 531.562255859375)",0.59306014,1.0,2.0
2531.1414,"(732.645751953125, 531.035888671875)",0.604959,1.0,2.0
2529.1626,"(732.609375, 531.1993408203125)",0.5931434,1.0,2.0
2504.5325,"(732.9442749023438, 532.12939453125)",0.56044686,1.0,2.0
2546.9275,"(733.5232543945312, 533.91455078125)",0.5325429,1.0,2.0
2363.789,"(734.3748168945312, 536.285400390625)",0.48326796,1.0,2.0
2591.723,"(734.4417724609375, 536.5845336914062)",0.4578447,1.0,2.0
2504.9385,"(735.405517578125, 537.2776489257812)",0.39021686,1.0,2.0
2345.0967,"(736.0628662109375, 537.706298828125)",0.44010434,1.0,2.0
2638.281,"(735.9298706054688, 535.9583740234375)",0.4220671,1.0,2.0
2822.012,"(735.60400390625, 534.83642578125)",0.5034401,1.0,2.0
2882.979,"(735.3602294921875, 534.1597900390625)",0.5213717,1.0,2.0
2863.4216,"(735.285888671875, 533.6328125)",0.517608,1.0,2.0
2816.338,"(735.5123291015625, 533.5796508789062)",0.44913906,1.0,2.0
2763.3457,"(735.471435546875, 533.5447387695312)",0.44922036,1.0,2.0
2723.2998,"(734.9066772460938, 533.2969970703125)",0.49219733,1.0,2.0
2522.33,"(735.1417236328125, 534.251220703125)",0.4321739,1.0,2.0
2477.219,"(735.1558837890625, 534.742431640625)",0.46359333,1.0,2.0
2341.3665,"(734.3563232421875, 536.0053100585938)",0.62306195,1.0,2.0
2283.5212,"(734.0631713867188, 536.5589599609375)",0.6189652,1.0,2.0
2296.0532,"(734.22998046875, 537.240234375)",0.61593986,1.0,2.0
2250.3188,"(734.3642578125, 537.00341796875)",0.5692085,1.0,2.0
2255.6306,"(735.1756591796875, 537.908935546875)",0.5352638,1.0,2.0
2303.7986,"(735.8553466796875, 538.3606567382812)",0.53401524,1.0,2.0
2413.7007,"(736.1488037109375, 538.2980346679688)",0.5436578,1.0,2.0
2493.4348,"(736.74072265625, 538.462646484375)",0.54524046,1.0,2.0
2491.237,"(736.9932861328125, 538.3075561523438)",0.49291575,1.0,2.0
2502.1162,"(736.945556640625, 537.7371826171875)",0.49784958,1.0,2.0
2528.374,"(737.0857543945312, 537.8702392578125)",0.503098,1.0,2.0
2539.4731,"(736.6256103515625, 537.305419921875)",0.50098926,1.0,2.0
2594.9783,"(736.3843994140625, 537.5240478515625)",0.4926558,1.0,2.0
2563.3708,"(736.2918701171875, 537.1237182617188)",0.45930585,1.0,2.0
2735.7068,"(734.9874267578125, 535.7432250976562)",0.5190153,1.0,2.0
2618.5203,"(735.1466064453125, 536.0185546875)",0.49971452,1.0,2.0
2667.6428,"(734.0515747070312, 535.2769775390625)",0.5103843,1.0,2.0
2688.2534,"(733.5013427734375, 534.9944458007812)",0.5345539,1.0,2.0
2582.1865,"(734.0151977539062, 535.9642333984375)",0.4749854,1.0,2.0
2652.715,"(733.5931396484375, 535.06494140625)",0.48978144,1.0,2.0
2540.708,"(734.7275390625, 536.9376220703125)",0.4022023,1.0,2.0
2552.6174,"(735.1553344726562, 537.6915893554688)",0.38125822,1.0,2.0
